Bronze_Micro_Household_Spending,Bronze_Micro_Small_Business_Loans,Bronze_Micro_Retail_Sales,Bronze_Micro_Personal_Income,DateTime
84.092,1544.9018,336929.0,12125.6,2009-01-31
83.747,1532.8201,335576.0,12007.4,2009-02-28
83.401,1511.3496,329747.0,11965.3,2009-03-31
83.277,1491.3671,331352.0,12009.4,2009-04-30
83.353,1469.3714,334256.0,12179.6,2009-05-31
83.376,1436.4575,339883.0,12042.9,2009-06-30
83.654,1395.3735,340517.0,11998.4,2009-07-31
84.406,1363.5818,346668.0,12011.2,2009-08-31
83.627,1337.8495,338507.0,12061.1,2009-09-30
83.722,1307.7976,341654.0,12069.4,2009-10-31
83.588,1290.0191,344375.0,12129.6,2009-11-30
84.099,1265.1656,346072.0,12188.2,2009-12-31
83.945,1238.755,345889.0,12267.7,2010-01-31
84.259,1223.6807,346724.0,12267.6,2010-02-28
84.662,1210.0242,354119.0,12330.9,2010-03-31
84.835,1207.3378,357354.0,12441.8,2010-04-30
85.046,1196.6678,354068.0,12543.7,2010-05-31
85.253,1190.2219,353647.0,12550.7,2010-06-30
85.486,1189.0568,354717.0,12588.7,2010-07-31
85.693,1187.9068,356448.0,12652.9,2010-08-31
85.774,1186.0702,359359.0,12673.4,2010-09-30
85.993,1184.869,363469.0,12723.6,2010-10-31
86.211,1186.9766,367051.0,12765.5,2010-11-30
86.325,1192.3732,369139.0,12873.1,2010-12-31
86.422,1196.1238,371841.0,13080.7,2011-01-31
86.398,1199.8666,375017.0,13155.6,2011-02-28
86.697,1206.7075,378506.0,13178.2,2011-03-31
86.594,1214.7589,380335.0,13212.8,2011-04-30
86.494,1228.7954,380024.0,13239.1,2011-05-31
86.695,1233.6931,383142.0,13295.7,2011-06-30
86.846,1244.4441,382837.0,13375.8,2011-07-31
86.793,1263.4025,383691.0,13400.3,2011-08-31
86.936,1269.8195,387567.0,13401.5,2011-09-30
87.093,1280.095,389853.0,13406.4,2011-10-31
86.946,1292.73,391274.0,13419.7,2011-11-30
86.985,1303.7831,391510.0,13548.9,2011-12-31
87.321,1321.4884,395469.0,13631.6,2012-01-31
87.85,1344.5657,400300.0,13731.1,2012-02-29
87.735,1350.7516,401569.0,13798.5,2012-03-31
87.816,1368.4675,399972.0,13868.1,2012-04-30
87.822,1378.7508,399180.0,13850.3,2012-05-31
87.73,1397.9958,395595.0,13837.1,2012-06-30
87.914,1413.8761,397407.0,13752.9,2012-07-31
87.932,1425.9058,402211.0,13768.5,2012-08-31
88.056,1434.4783,405357.0,13914.1,2012-09-30
88.05,1449.3477,405437.0,14049.2,2012-10-31
88.434,1457.0846,407308.0,14230.7,2012-11-30
88.47,1474.4892,408665.0,14581.4,2012-12-31
88.864,1485.2033,412115.0,13880.4,2013-01-31
88.849,1491.6418,417013.0,13902.0,2013-02-28
88.963,1499.4,414024.0,13932.2,2013-03-31
88.983,1507.3912,411770.0,13974.9,2013-04-30
89.237,1510.0952,414325.0,14052.5,2013-05-31
89.219,1521.7395,415442.0,14083.9,2013-06-30
89.329,1531.9765,418110.0,14072.0,2013-07-31
89.464,1533.331,417377.0,14117.3,2013-08-31
89.733,1540.0606,417654.0,14181.7,2013-09-30
90.023,1549.5107,419247.0,14152.3,2013-10-31
90.393,1558.4196,420513.0,14209.6,2013-11-30
90.475,1574.3745,422794.0,14266.5,2013-12-31
90.176,1586.8686,419015.0,14369.2,2014-01-31
90.586,1620.0235,424793.0,14456.4,2014-02-28
91.104,1633.4661,429132.0,14555.0,2014-03-31
91.253,1651.1849,433530.0,14624.5,2014-04-30
91.451,1663.3598,434248.0,14689.5,2014-05-31
91.772,1676.7223,435438.0,14760.1,2014-06-30
91.971,1694.9885,436150.0,14821.1,2014-07-31
92.596,1711.9284,439518.0,14894.2,2014-08-31
92.623,1725.719,438459.0,14951.2,2014-09-30
93.217,1730.7876,440095.0,15022.7,2014-10-31
93.454,1751.3143,441249.0,15094.0,2014-11-30
93.713,1773.378,438509.0,15170.9,2014-12-31
93.936,1791.6373,436125.0,15230.8,2015-01-31
94.158,1808.1293,435450.0,15313.3,2015-02-28
94.441,1833.5219,441895.0,15314.2,2015-03-31
94.614,1847.9789,442967.0,15373.5,2015-04-30
94.899,1863.1821,446114.0,15442.7,2015-05-31
94.966,1880.0327,446572.0,15479.0,2015-06-30
95.319,1889.6077,450143.0,15518.6,2015-07-31
95.554,1903.5328,450168.0,15550.5,2015-08-31
95.61,1915.313,448090.0,15570.5,2015-09-30
95.676,1930.167,446905.0,15608.0,2015-10-31
95.835,1946.063,448738.0,15615.4,2015-11-30
96.138,1953.0884,450598.0,15668.4,2015-12-31
96.299,1964.0322,447376.0,15695.5,2016-01-31
96.941,1987.2805,451898.0,15695.9,2016-02-29
96.58,2017.6416,450462.0,15731.6,2016-03-31
96.836,2033.4369,452238.0,15758.9,2016-04-30
96.995,2047.7735,453898.0,15777.2,2016-05-31
97.426,2050.6549,458711.0,15821.4,2016-06-30
97.604,2057.8934,457894.0,15891.5,2016-07-31
97.709,2051.4168,458375.0,15931.3,2016-08-31
97.97,2070.2817,461400.0,15999.1,2016-09-30
97.925,2086.2149,462362.0,16059.4,2016-10-31
98.09,2089.2556,462231.0,16107.6,2016-11-30
98.78,2083.9158,467852.0,16182.5,2016-12-31
98.839,2082.5542,473019.0,16293.3,2017-01-31
98.892,2082.6192,472945.0,16363.5,2017-02-28
99.331,2064.7468,472149.0,16415.1,2017-03-31
99.364,2067.3793,473986.0,16476.0,2017-04-30
99.427,2071.3579,471630.0,16573.2,2017-05-31
99.745,2072.8266,473546.0,16604.0,2017-06-30
99.996,2076.2845,473552.0,16665.9,2017-07-31
100.008,2084.1409,474449.0,16733.7,2017-08-31
100.555,2102.9127,484163.0,16841.9,2017-09-30
100.65,2112.4649,484848.0,16930.8,2017-10-31
101.202,2104.929,490013.0,16997.5,2017-11-30
101.992,2103.4087,492579.0,17058.2,2017-12-31
101.886,2107.5555,490426.0,17141.7,2018-01-31
101.931,2109.0375,493334.0,17204.1,2018-02-28
102.226,2119.8702,493022.0,17268.2,2018-03-31
102.318,2163.9834,494498.0,17328.7,2018-04-30
102.633,2170.0826,500930.0,17404.4,2018-05-31
102.732,2187.8397,499218.0,17488.4,2018-06-30
102.95,2201.5439,502255.0,17587.6,2018-07-31
103.167,2206.6242,501962.0,17664.0,2018-08-31
102.983,2222.9601,500033.0,17693.5,2018-09-30
103.284,2248.2018,505622.0,17749.8,2018-10-31
103.835,2272.3941,507278.0,17795.7,2018-11-30
102.947,2301.5175,496973.0,18012.4,2018-12-31
103.243,2322.7113,500208.0,18078.6,2019-01-31
103.294,2328.0723,500928.0,18152.9,2019-02-28
104.019,2334.2876,508944.0,18226.6,2019-03-31
104.028,2326.8041,509564.0,18266.8,2019-04-30
104.413,2330.183,512930.0,18286.9,2019-05-31
104.766,2335.7101,513716.0,18324.3,2019-06-30
105.261,2343.4067,518274.0,18342.4,2019-07-31
105.665,2362.3717,521348.0,18432.4,2019-08-31
105.836,2369.6027,518188.0,18477.3,2019-09-30
105.843,2369.6957,519795.0,18546.3,2019-10-31
106.412,2367.7853,523120.0,18629.5,2019-11-30
106.584,2355.3976,524954.0,18594.0,2019-12-31
106.973,2352.0278,525411.0,18809.4,2020-01-31
106.775,2346.8249,525380.0,18913.6,2020-02-29
99.689,2561.6615,477676.0,18584.4,2020-03-31
88.685,2920.2437,408312.0,20760.2,2020-04-30
95.972,3033.757,484978.0,19888.0,2020-05-31
101.376,2925.0157,526970.0,19934.5,2020-06-30
102.946,2856.1154,535644.0,20186.3,2020-07-31
103.711,2815.1135,540423.0,19579.7,2020-08-31
105.134,2760.4849,551131.0,19736.8,2020-09-30
105.438,2697.4897,549271.0,19731.7,2020-10-31
105.171,2637.7257,544421.0,19581.1,2020-11-30
105.585,2589.9895,549300.0,19735.3,2020-12-31
107.003,2563.6368,570510.0,21764.6,2021-01-31
105.93,2584.9868,555489.0,20244.7,2021-02-28
110.495,2586.1474,616348.0,24457.2,2021-03-31
111.294,2556.4416,622705.0,21290.3,2021-04-30
110.972,2544.3224,615543.0,20886.6,2021-05-31
112.009,2479.4872,622125.0,20927.4,2021-06-30
111.745,2450.577,612647.0,21157.2,2021-07-31
112.437,2429.3213,616892.0,21208.9,2021-08-31
112.695,2418.5917,620529.0,21080.3,2021-09-30
113.457,2423.0898,630562.0,21242.9,2021-10-31
113.717,2437.1254,637775.0,21351.5,2021-11-30
113.373,2473.7772,632515.0,21422.3,2021-12-31
113.561,2487.55,644034.0,21424.5,2022-01-31
113.628,2496.9117,650522.0,21572.9,2022-02-28
114.179,2536.3378,664167.0,21674.7,2022-03-31
114.623,2566.1293,673245.0,21754.3,2022-04-30
114.424,2608.6259,671040.0,21848.2,2022-05-31
114.5,2669.5759,675702.0,21956.3,2022-06-30
114.445,2701.1168,671067.0,22163.7,2022-07-31
115.099,2725.8291,675107.0,22304.0,2022-08-31
115.305,2749.6517,673312.0,22431.8,2022-09-30
115.497,2773.832,681748.0,22579.7,2022-10-31
115.16,2792.7658,673674.0,22638.2,2022-11-30
115.24,2802.8365,666734.0,22718.6,2022-12-31
116.81,2809.9671,693826.0,22855.1,2023-01-31
116.785,2801.0657,686434.0,22984.2,2023-02-28
116.506,2791.9343,679067.0,23104.4,2023-03-31
116.9,2769.5787,683698.0,23194.0,2023-04-30
116.971,2763.5493,686672.0,23299.8,2023-05-31
117.095,2757.9886,688810.0,23372.5,2023-06-30
117.614,2754.8967,690641.0,23427.8,2023-07-31
117.637,2756.8846,696238.0,23533.1,2023-08-31
117.931,2760.0446,702160.0,23636.2,2023-09-30
118.174,2770.4135,699977.0,23708.3,2023-10-31
118.685,2763.6749,700707.0,23812.0,2023-11-30
119.362,2761.5435,703256.0,23903.1,2023-12-31
118.976,2756.4386,695631.0,24226.7,2024-01-31
119.248,2763.3878,700519.0,24330.9,2024-02-29
119.702,2748.1189,703738.0,24474.9,2024-03-31
119.695,2750.5599,702681.0,24565.4,2024-04-30
120.279,2755.8612,704309.0,24676.2,2024-05-31
120.443,2768.3212,702350.0,24738.0,2024-06-30
120.949,2763.1216,710851.0,24819.3,2024-07-31
121.149,2767.8128,711291.0,24876.3,2024-08-31
121.579,2779.4587,714358.0,24947.9,2024-09-30
