Bronze_Micro_Household_Spending,Bronze_Micro_Small_Business_Loans,Bronze_Micro_Retail_Sales,Bronze_Micro_Personal_Income,DateTime
116.81,2809.9671,693826.0,22855.1,2023-01-31
116.785,2801.0657,686434.0,22984.2,2023-02-28
116.506,2791.9343,679067.0,23104.4,2023-03-31
116.9,2769.5787,683698.0,23194.0,2023-04-30
116.971,2763.5493,686672.0,23299.8,2023-05-31
117.095,2757.9886,688810.0,23372.5,2023-06-30
117.614,2754.8967,690641.0,23427.8,2023-07-31
117.637,2756.8846,696238.0,23533.1,2023-08-31
117.931,2760.0446,702160.0,23636.2,2023-09-30
118.174,2770.4135,699977.0,23708.3,2023-10-31
118.685,2763.6749,700707.0,23812.0,2023-11-30
119.362,2761.5435,703256.0,23903.1,2023-12-31
118.976,2756.4386,695631.0,24226.7,2024-01-31
119.248,2763.3878,700519.0,24330.9,2024-02-29
119.702,2748.1189,703738.0,24474.9,2024-03-31
119.695,2750.5599,702681.0,24565.4,2024-04-30
120.279,2755.8612,704309.0,24676.2,2024-05-31
120.443,2768.3212,702350.0,24738.0,2024-06-30
120.949,2763.1216,710851.0,24819.3,2024-07-31
121.149,2767.8128,711291.0,24876.3,2024-08-31
121.579,2779.4587,714358.0,24947.9,2024-09-30
